11/14/2014 9:21:20 AM New Instance of BeckmanFileHandler! Started: 
11/14/2014 9:21:20 AM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
11/14/2014 9:21:20 AM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\
11/14/2014 3:59:20 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00054.xls, 2 move attempts required.
11/14/2014 4:06:36 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00055.xls, 1 move attempts required.
11/14/2014 4:13:53 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00056.xls, 1 move attempts required.
11/14/2014 4:21:17 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00057.xls, 2 move attempts required.
11/14/2014 4:28:35 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00058.xls, 2 move attempts required.
11/14/2014 4:35:53 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00059.xls, 2 move attempts required.
11/14/2014 4:43:11 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00060.xls, 2 move attempts required.
11/14/2014 4:50:17 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00061.xls, 1 move attempts required.
11/14/2014 4:57:33 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00062.xls, 1 move attempts required.
11/14/2014 5:04:58 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00063.xls, 2 move attempts required.
11/14/2014 5:12:17 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00064.xls, 2 move attempts required.
11/14/2014 5:19:35 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00065.xls, 1 move attempts required.
11/14/2014 5:26:56 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00066.xls, 2 move attempts required.
11/14/2014 5:34:05 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00067.xls, 2 move attempts required.
11/14/2014 5:41:37 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00068.xls, 2 move attempts required.
11/14/2014 5:49:11 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00069.xls, 2 move attempts required.
11/14/2014 5:56:41 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00070.xls, 2 move attempts required.
11/14/2014 6:03:47 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00071.xls, 1 move attempts required.
11/14/2014 6:10:58 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00072.xls, 2 move attempts required.
11/14/2014 6:18:13 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00073.xls, 1 move attempts required.
11/14/2014 6:25:20 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00074.xls, 2 move attempts required.
11/14/2014 6:32:35 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00075.xls, 2 move attempts required.
11/14/2014 6:39:53 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00076.xls, 2 move attempts required.
11/14/2014 6:47:10 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00077.xls, 1 move attempts required.
11/14/2014 6:54:29 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00078.xls, 2 move attempts required.
11/14/2014 7:01:43 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00079.xls, 1 move attempts required.
11/14/2014 7:09:09 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00080.xls, 1 move attempts required.
11/14/2014 7:16:45 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00081.xls, 1 move attempts required.
11/14/2014 7:24:02 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00082.xls, 2 move attempts required.
11/14/2014 7:31:26 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00083.xls, 1 move attempts required.
11/14/2014 7:39:01 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00084.xls, 1 move attempts required.
11/14/2014 7:46:26 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00085.xls, 2 move attempts required.
11/14/2014 7:53:44 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00086.xls, 2 move attempts required.
11/14/2014 8:01:01 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00087.xls, 2 move attempts required.
11/14/2014 8:08:14 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00088.xls, 2 move attempts required.
11/14/2014 8:15:30 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00089.xls, 2 move attempts required.
11/14/2014 8:22:48 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00090.xls, 2 move attempts required.
11/14/2014 8:29:54 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00091.xls, 2 move attempts required.
11/14/2014 8:37:12 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00092.xls, 2 move attempts required.
11/14/2014 8:44:40 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00093.xls, 2 move attempts required.
11/14/2014 8:52:15 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00094.xls, 2 move attempts required.
11/14/2014 8:59:50 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00095.xls, 1 move attempts required.
11/14/2014 9:07:25 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00096.xls, 1 move attempts required.
11/14/2014 9:14:57 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00097.xls, 2 move attempts required.
11/14/2014 9:22:13 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00098.xls, 2 move attempts required.
11/14/2014 9:29:31 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00099.xls, 2 move attempts required.
11/14/2014 9:36:48 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00100.xls, 1 move attempts required.
11/14/2014 9:44:08 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00101.xls, 1 move attempts required.
11/14/2014 9:51:28 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00102.xls, 2 move attempts required.
11/14/2014 9:58:56 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00103.xls, 2 move attempts required.
11/14/2014 10:06:30 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00104.xls, 1 move attempts required.
11/14/2014 10:07:41 PM Moving file... Old file path: UN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00105.xls, 1 move attempts required.
11/14/2014 10:14:33 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00106.xls, 2 move attempts required.
11/14/2014 10:22:01 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00107.xls, 2 move attempts required.
11/14/2014 10:29:17 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00108.xls, 1 move attempts required.
11/14/2014 10:36:34 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00109.xls, 1 move attempts required.
11/14/2014 10:43:51 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00110.xls, 1 move attempts required.
11/14/2014 10:51:09 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00111.xls, 1 move attempts required.
11/14/2014 10:58:27 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00112.xls, 2 move attempts required.
11/14/2014 11:06:27 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00113.xls, 2 move attempts required.
11/14/2014 11:13:54 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00114.xls, 2 move attempts required.
11/14/2014 11:21:13 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00115.xls, 2 move attempts required.
11/14/2014 11:28:34 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00116.xls, 2 move attempts required.
11/14/2014 11:35:54 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00117.xls, 2 move attempts required.
11/14/2014 11:43:13 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00118.xls, 1 move attempts required.
11/14/2014 11:50:40 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00119.xls, 2 move attempts required.
11/14/2014 11:57:48 PM Moving file... Old file path: SN111401.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00120.xls, 2 move attempts required.
11/15/2014 12:05:13 AM Moving file... Old file path: SN111501.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00121.xls, 2 move attempts required.
11/15/2014 12:12:51 AM Moving file... Old file path: SN111501.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00122.xls, 2 move attempts required.
11/15/2014 12:20:26 AM Moving file... Old file path: SN111501.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00123.xls, 1 move attempts required.
11/15/2014 12:28:02 AM Moving file... Old file path: SN111501.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00124.xls, 1 move attempts required.
11/15/2014 12:35:28 AM Moving file... Old file path: SN111501.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00125.xls, 2 move attempts required.
11/15/2014 12:42:53 AM Moving file... Old file path: SN111501.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00126.xls, 2 move attempts required.
11/15/2014 12:50:00 AM Moving file... Old file path: SN111501.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00127.xls, 2 move attempts required.
11/15/2014 12:57:15 AM Moving file... Old file path: SN111501.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irrad_11_141114\MeasurementNo00128.xls, 1 move attempts required.
