10/22/2014 5:51:43 PM New Instance of BeckmanFileHandler! Started: 
10/22/2014 5:51:43 PM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
10/22/2014 5:51:43 PM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\
10/22/2014 10:47:34 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00040.xls, 2 move attempts required.
10/22/2014 10:55:07 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00041.xls, 2 move attempts required.
10/22/2014 11:02:48 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00042.xls, 2 move attempts required.
10/22/2014 11:10:30 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00043.xls, 2 move attempts required.
10/22/2014 11:18:13 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00044.xls, 2 move attempts required.
10/22/2014 11:26:05 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00045.xls, 2 move attempts required.
10/22/2014 11:33:48 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00046.xls, 1 move attempts required.
10/22/2014 11:41:31 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00047.xls, 2 move attempts required.
10/22/2014 11:49:13 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00048.xls, 2 move attempts required.
10/22/2014 11:56:32 PM Moving file... Old file path: SN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00049.xls, 2 move attempts required.
10/23/2014 12:04:22 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00050.xls, 1 move attempts required.
10/23/2014 12:12:22 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00051.xls, 1 move attempts required.
10/23/2014 12:20:04 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00052.xls, 2 move attempts required.
10/23/2014 12:27:47 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00053.xls, 2 move attempts required.
10/23/2014 12:36:46 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00054.xls, 2 move attempts required.
10/23/2014 12:45:47 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00055.xls, 2 move attempts required.
10/23/2014 12:53:30 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00056.xls, 2 move attempts required.
10/23/2014 1:00:58 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00057.xls, 1 move attempts required.
10/23/2014 1:08:20 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00058.xls, 2 move attempts required.
10/23/2014 1:15:40 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00059.xls, 2 move attempts required.
10/23/2014 1:23:12 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00060.xls, 2 move attempts required.
10/23/2014 1:30:43 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00061.xls, 1 move attempts required.
10/23/2014 1:37:56 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00062.xls, 1 move attempts required.
10/23/2014 1:45:17 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00063.xls, 1 move attempts required.
